phenocode	phenostring	category	pval	beta	maf	maf_case	maf_control	n_case	n_control
J10_CHRONSINUSITIS	Chronic sinusitis	Diseases of the respiratory system (J10_)	0.381082	-0.016613	0.114876	0.113072	0.114978	14639	258553
M13_HALLUXRIGIDUS	Hallux rigidus	Diseases of the musculoskeletal system and connective tissue (M13_)	0.381783	-0.0311787	0.114623	0.113355	0.114646	4022	221323
C3_SCLC_EXALLC	Small cell lung cancer	Neoplasms, from cancer register (ICD-O-3)	0.382577	-0.0802006	0.115538	0.10997	0.11555	577	259583
K11_DISLIVOTH	Other diseases of liver	Diseases of the digestive system (K11_)	0.382994	0.0295734	0.114829	0.117636	0.114792	4369	332951
G6_MIGRAINE_NO_AURA	Migraine without aura	Diseases of the nervous system (G6_)	0.384173	-0.0261092	0.1149	0.111322	0.114978	5787	264662
E4_FLUIDELECTRO	Other disorders of fluid, electrolyte and acid-base balance	Endocrine, nutritional and metabolic diseases (E4_)	0.384399	-0.0217561	0.114786	0.112392	0.114853	8310	296380
G6_CNSOTH	Other disorders of central nervous system	Diseases of the nervous system (G6_)	0.384687	0.12083	0.114726	0.127991	0.114715	254	318912
H7_RETINALBREAK	Retinal breaks without detachment	Diseases of the eye and adnexa (H7_)	0.385247	0.0314188	0.114619	0.118211	0.114575	3827	314042
O15_LABOUR_UMBILICAL	Labour and delivery complicated by umbilical cord complications	Pregnancy, childbirth and the puerperium (O15_)	0.385265	-0.055436	0.114747	0.107726	0.114805	1240	148153
O15_POSTPART_HEAMORRH_ALLW	Postpartum haemorrhage	Pregnancy, childbirth and the puerperium (O15_)	0.385662	-0.0233191	0.114492	0.112693	0.114563	7221	183658
E4_HYPOPARA	Hypoparathyroidism	Endocrine, nutritional and metabolic diseases (E4_)	0.385696	0.068084	0.114919	0.122487	0.114901	801	329091
J10_ACUTEUPPERINFEC	Acute upper respiratory infections of multiple and unspecified sites	Diseases of the respiratory system (J10_)	0.385741	0.011517	0.114848	0.11622	0.11469	32319	280956
L12_OTHERSKINSUBCUTIS	Other disorders of skin and subcutaneous tissue	Diseases of the skin and subcutaneous tissue (L12_)	0.387501	0.0139143	0.114848	0.116162	0.114764	20596	321903
O15_LABOUR_MALPOS	Obstructed labour due to malposition and malpresentation of fetus	Pregnancy, childbirth and the puerperium (O15_)	0.387881	-0.0243863	0.114721	0.112825	0.114805	6565	148153
E4_AMYLNAS	Amyloidosis, other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	0.388226	-0.0988404	0.114845	0.108071	0.114853	370	296380
CHRONOTH	Other Crohn's disease	Gastrointestinal endpoints	0.388623	0.0450441	0.114848	0.120146	0.114819	1818	327263
N14_ENDOMETRIOSIS_INTESTINE	Endometriosis of intestine	Diseases of the genitourinary system (N14_)	0.388926	-0.0990478	0.114827	0.107237	0.114854	369	100663
L12_OTHERBULL	Other and unspecified bullous disorders	Diseases of the skin and subcutaneous tissue (L12_)	0.388939	0.133267	0.114829	0.127376	0.114821	208	341188
H8_OTORRHAGIA	Otorrhagia	Diseases of the ear and mastoid process (H8_)	0.389155	0.171395	0.114943	0.134099	0.114935	123	302750
I9_LBBB	Left bundle-branch block	Diseases of the circulatory system (I9_)	0.389462	-0.0471627	0.114999	0.112047	0.115019	1656	237263
COPD_INSUFFICIENCY	COPD-related respiratory insufficiency	Comorbidities of COPD	0.389546	-0.0357231	0.114871	0.111575	0.1149	2936	326794
O15_LABOUR_PELVIC_ABNORM	Obstructed labour due to maternal pelvic abnormality	Pregnancy, childbirth and the puerperium (O15_)	0.389615	0.0293111	0.114895	0.117933	0.114805	4400	148153
E4_HYPERPRO	Hyperprolactinaemia	Endocrine, nutritional and metabolic diseases (E4_)	0.389806	-0.0631255	0.114882	0.108036	0.114901	926	329091
CD2_BENIGN_RECTOSIGMOID_JUNC	Benign neoplasm: Rectosigmoid junction	Neoplasms from hospital discharges (CD2_)	0.39054	0.0647237	0.114848	0.122162	0.11483	869	341630
K11_PARALIL	Paralytic ileus	Diseases of the digestive system (K11_)	0.39199	0.0624529	0.114782	0.120388	0.114763	942	276683
E4_HYPERKALAEMIA	Hyperkalaemia	Endocrine, nutritional and metabolic diseases (E4_)	0.392624	-0.0542062	0.114831	0.109563	0.114853	1239	296380
K11_RETROG_MAXILLAE_INCLAVO	Maxillary retrognathism	Diseases of the digestive system (K11_)	0.39263	0.0965584	0.114848	0.124522	0.114837	389	342110
D3_SCNDPOLYCYTHAEMIA	Secondary polycythaemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.393021	0.0822088	0.11482	0.122288	0.114808	537	336361
M13_NEURALGIA	Neuralgia and neuritis, unspecified	Diseases of the musculoskeletal system and connective tissue (M13_)	0.393025	-0.054062	0.114863	0.109715	0.114888	1241	253122
F5_MOOD	Mood [affective] disorders	Mental and behavioural disorders (F5_)	0.393069	-0.0102368	0.114848	0.113435	0.115049	42613	299886
K11_STOMATITIS	Stomatitis and related lesions	Diseases of the digestive system (K11_)	0.393319	0.0411416	0.114334	0.11893	0.114293	2154	242518
I9_PHLETHROM	Phlebitis and thrombophlebitis (not including DVT)	Diseases of the circulatory system (I9_)	0.393928	-0.0246365	0.114803	0.113153	0.114837	6058	295014
N14_FEMALE_GENITAL_DYSPLASIA_NOS	Dysplastic lesion of unknown severity in the cervix uteri, vagina or vulva	Diseases of the genitourinary system (N14_)	0.39419	-0.117037	0.114492	0.103338	0.114507	262	190617
RHEUMA_ARHTROPAT_REACTIVE	Reactive arthropathies, FINNGEN	Rheuma endpoints	0.394199	0.0433704	0.114108	0.11901	0.114072	1930	261098
M13_ALGONEURO	Algoneurodystrophy	Diseases of the musculoskeletal system and connective tissue (M13_)	0.394487	-0.0683201	0.114796	0.107993	0.114812	770	325717
AB1_SYPHILIS	Syphilis	Certain infectious and parasitic diseases (AB1_)	0.395312	0.0785318	0.114844	0.123614	0.114829	577	332788
O15_POOR_FETGRO	Poor fetal growth	Pregnancy, childbirth and the puerperium (O15_)	0.395563	0.0347751	0.114492	0.117354	0.114445	3056	187823
I9_ARTEMBTHR	Arterial embolism and thrombosis	Diseases of the circulatory system (I9_)	0.396396	-0.0482651	0.114779	0.110007	0.114802	1546	317899
COPD_MODE	COPD (mode)	Comorbidities of Asthma	0.396798	-0.0177313	0.114981	0.113326	0.115099	13912	195714
N14_NEUROMUSCDYSBLADD	Neuromuscular dysfunction of bladder	Diseases of the genitourinary system (N14_)	0.396843	0.0395336	0.114963	0.118251	0.114938	2306	299449
N14_INFLAMALEGEN	Inflammatory disorders of male genital organs, not elsewhere classified	Diseases of the genitourinary system (N14_)	0.39722	0.106751	0.115393	0.127388	0.115359	310	110070
I9_ANGIO	Coronary angioplasty	Diseases of the circulatory system (I9_)	0.397808	0.0184386	0.114985	0.116694	0.114904	13507	285621
E4_DMNASNASCOMP	Unspecified diabetes with multiple/unspecified complications	Endocrine, nutritional and metabolic diseases (E4_)	0.398028	0.0624826	0.114349	0.119813	0.114332	919	283224
D3_WHITEBLOODCELLNAS	Other and unspecified disorders of white blood cells	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.398594	0.0611495	0.114824	0.120601	0.114808	948	336361
U22_COVID19_SUSPECTED	Covid-19 suspected case	Codes for special purposes (U22_)	0.398627	-0.0325756	0.114848	0.11237	0.114873	3350	339149
I9_CHD	Major coronary heart disease event	Diseases of the circulatory system (I9_)	0.398865	0.0113908	0.114848	0.115285	0.114792	39036	303463
H7_SEVVISIMPBINOC	Severe visual impairment, binocular	Diseases of the eye and adnexa (H7_)	0.399421	-0.183939	0.114883	0.0970874	0.114889	103	327640
N14_OTHNONINFUTER	Other noninflammatory disorders of uterus, except cervix	Diseases of the genitourinary system (N14_)	0.400732	0.0228795	0.11502	0.117145	0.114854	7865	100663
Q17_OTHER_CONGEN_MALFO_BRAIN	Other congenital malformations of brain	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.401015	-0.18107	0.11483	0.0980577	0.114835	106	342020
G6_MUSDYST	Muscular dystrophy	Diseases of the nervous system (G6_)	0.401996	-0.136168	0.114886	0.101064	0.114893	188	339462
O15_PUERP_COMPL_NAS	Complications of the puerperium, not elsewhere classified	Pregnancy, childbirth and the puerperium (O15_)	0.402385	0.061223	0.114539	0.121041	0.114506	932	183235
K11_LIVER	Diseases of liver	Diseases of the digestive system (K11_)	0.402734	0.0193432	0.114848	0.116823	0.114792	9548	332951
CD2_BENIGN_CONNSOFT_UPPERLIMB	Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder	Neoplasms from hospital discharges (CD2_)	0.403132	0.0586596	0.114848	0.119081	0.114836	1020	341479
G6_HEREMOSEN	Hereditary motor and sensory neuropathy	Diseases of the nervous system (G6_)	0.405841	-0.131031	0.114799	0.104592	0.114805	196	336784
L12_ERYTHEMAMULTIF	Erythema multiforme	Diseases of the skin and subcutaneous tissue (L12_)	0.405924	0.0795142	0.114673	0.122011	0.114661	545	331270
ANOSMIA	Anosmia	Comorbidities of Neurological endpoints	0.406014	0.0742436	0.114276	0.119149	0.114236	671	81923
H8_VERTIGOCENT	Vertigo of central origin	Diseases of the ear and mastoid process (H8_)	0.406252	0.100575	0.114929	0.12596	0.114918	338	326479
F5_CANNABIS	Mental and behavioural disorders due to cannabinoids	Mental and behavioural disorders (F5_)	0.406313	-0.0655611	0.114785	0.106223	0.114807	875	336516
M13_PREPATELLARBURSITIS	Prepatellar bursitis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.406647	-0.0568136	0.114865	0.109356	0.114888	1063	253122
J10_COPD	COPD	Diseases of the respiratory system (J10_)	0.407097	-0.0154179	0.115422	0.113665	0.115523	16410	283589
I9_HEARTFAIL_AND_HYPERTCARDIOM	Heart failure and hypertrophic cardiomyopathy	Cardiometabolic endpoints	0.407897	0.0937518	0.11485	0.124469	0.114839	386	341561
CD2_BENIGN_MELANOCYTIC_EYELID	Melanocytic naevi of eyelid, including canthus	Neoplasms from hospital discharges (CD2_)	0.408251	-0.129678	0.114848	0.10199	0.114856	201	342298
L12_ALLERGICCONTACT	Allergic contact dermatitis	Diseases of the skin and subcutaneous tissue (L12_)	0.408548	-0.0298333	0.115164	0.112146	0.115201	3846	306909
AB1_VIRAL_MENINGITIS	Viral meningitis	Certain infectious and parasitic diseases (AB1_)	0.409215	0.0607965	0.114848	0.121631	0.11483	909	340582
H8_OTALGIA	Otalgia	Diseases of the ear and mastoid process (H8_)	0.409327	-0.0445625	0.114913	0.11092	0.114935	1695	302750
K11_PULC	Peptic ulcer	Diseases of the digestive system (K11_)	0.409403	0.117442	0.115002	0.127049	0.114992	244	292256
N14_VULVAL_DYSPLASIA_ALL	All dysplastic lesions of the vulva	Diseases of the genitourinary system (N14_)	0.410094	-0.0585319	0.114492	0.109882	0.114516	978	189901
N14_OTHNONINFCERVIX	Other noninflammatory disorders of cervix uteri	Diseases of the genitourinary system (N14_)	0.410261	0.0520417	0.114931	0.12097	0.114854	1268	100663
FIBROLIV	Fibrosis of liver	Gastrointestinal endpoints	0.410593	0.15995	0.114821	0.130965	0.114815	130	338951
K11_CHOLECYSTECTOMY	Cholecystectomy	Diseases of the digestive system (K11_)	0.411235	0.0124862	0.114848	0.115579	0.114794	23642	318857
AB1_PROTOZOAL	Protozoal diseases	Certain infectious and parasitic diseases (AB1_)	0.412923	0.0755634	0.114848	0.122064	0.114836	582	341917
E4_GRAVES_OPHT_STRICT	Graves ophthalmopathy, strict	Endocrine, nutritional and metabolic diseases (E4_)	0.414739	0.0803867	0.114848	0.125057	0.114833	502	341997
H7_GLAUCSECTRAUMA	Glaucoma secondary to eye trauma	Diseases of the eye and adnexa (H7_)	0.415105	0.150221	0.114593	0.127648	0.114587	149	326434
L12_INFECT_SKIN_OTHER	Other local infections of skin and subcutaneous tissue	Diseases of the skin and subcutaneous tissue (L12_)	0.415434	0.0373114	0.114784	0.118286	0.114758	2384	324010
N14_CHRONTUBULOINTNEPHRITIS	Chronic tubulo-interstitial nephritis	Diseases of the genitourinary system (N14_)	0.41582	0.0569392	0.114667	0.120449	0.114648	1016	309095
M13_BICIPITALTEND	Bicipital tendinitis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.41588	-0.0531623	0.114862	0.10924	0.114888	1168	253122
RESP_ILL_DIS_CLASS_ELSEWHERE	Respiratory disorders in diseases classified elsewhere	Interstitial lung disease endpoints	0.416727	0.102258	0.114848	0.126325	0.114838	310	342189
E4_SPHINGOLIP	Disorders of sphingolipid metabolism and other lipid storage disorders	Endocrine, nutritional and metabolic diseases (E4_)	0.416858	0.190517	0.114859	0.132213	0.114853	91	296380
Q17_CONGEN_MALFO_NERVOUS_SYSTEM	Congenital malformations of the nervous system	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.418591	0.0820368	0.114848	0.124184	0.114835	479	342020
K11_ORAL_LEUCOPLACIA_INCLAVO	Oral leukoplakia, including avohilmo	Diseases of the digestive system (K11_)	0.419725	0.0728488	0.114848	0.122772	0.114834	606	341893
Q17_OTHER_CONGEN_MALFO_NOT_ELSEW_CLASSIFIED	Other congenital malformations, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.420184	0.132513	0.114821	0.128522	0.114813	183	340224
APPENDACUT_COMPLIC	Acute appendicitis, with complications	Diseases of the digestive system (K11_)	0.420585	0.0232464	0.114889	0.116844	0.114851	6076	314763
E4_DM2COMA	Type 2 diabetes with coma	Endocrine, nutritional and metabolic diseases (E4_)	0.420668	0.0285968	0.114365	0.116656	0.114332	4163	283224
G6_ATYFAC	Atypical facial pain	Diseases of the nervous system (G6_)	0.420844	0.0517958	0.114496	0.118956	0.114478	1212	301193
K11_INTESTOTH	Other diseases of intestines	Diseases of the digestive system (K11_)	0.420925	0.00798312	0.114848	0.115207	0.114763	65816	276683
H7_RETINAHAEMORR	Retinal haemorrhage	Diseases of the eye and adnexa (H7_)	0.421362	0.0810612	0.114588	0.123203	0.114575	487	314042
CD2_MYELOID_LEUKAEMIA_EXALLC	Myeloid leukaemia	Neoplasms from hospital discharges (CD2_)	0.42141	-0.0738919	0.115556	0.108497	0.115571	582	271463
M13_ACHILLESTEND	Achilles tendinitis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.42153	-0.0339983	0.115	0.11241	0.115029	2784	248831
E4_VOLUME	Volume depletion	Endocrine, nutritional and metabolic diseases (E4_)	0.422	-0.0380737	0.114822	0.110636	0.114853	2239	296380
CD2_BENIGN_DESCENDING_COLON	Benign neoplasm: Descending colon	Neoplasms from hospital discharges (CD2_)	0.422018	-0.0483335	0.114848	0.111026	0.114864	1365	341134
O15_PREG_HYDAT	Hydatidiform mole	Pregnancy, childbirth and the puerperium (O15_)	0.424293	0.097533	0.114418	0.124431	0.114394	335	135962
H7_RETINALDETACHOTH	Other, unspecified and serous retinal detachments	Diseases of the eye and adnexa (H7_)	0.424666	0.0690053	0.114589	0.12136	0.114575	668	314042
OSTEOPOROSIS_FRACTURE_FG	Osteoporosis with pathological fracture (FG)	Rheuma endpoints	0.424685	0.0479154	0.1141	0.119117	0.114072	1433	261098
Q17_BALANC_REARR_STRUCTURAL_MARKERS_NOT_ELSEW_CLASSIFIED	Balanced rearrangements and structural markers, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.425694	0.191465	0.114873	0.136905	0.114868	84	342092
L12_LICHENSCLERATROPH	Lichen sclerosus et atrophicus	Diseases of the skin and subcutaneous tissue (L12_)	0.425848	0.0400395	0.11479	0.11886	0.114764	1984	321903
I9_RHEUFEVHRT	Rheumatic fever with heart involvement	Diseases of the circulatory system (I9_)	0.426156	-0.154524	0.114855	0.0962963	0.114862	135	341593
CD2_BENIGN_MELANOCYTIC	Melanocytic naevi	Neoplasms from hospital discharges (CD2_)	0.426229	-0.020851	0.114848	0.112613	0.114898	7386	335113
MACULAR_PUCKER	Macular pucker	Diseases of the eye and adnexa (H7_)	0.426254	0.0326511	0.114609	0.118161	0.114575	2995	314042
M13_ENTEROARTHR	Enteropathic arthropathies	Diseases of the musculoskeletal system and connective tissue (M13_)	0.42666	0.0754188	0.114664	0.121848	0.114646	554	221323
D3_BLOODOTHER	Other diseases of blood and blood-forming organs	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.426981	0.0227701	0.114848	0.117078	0.114808	6138	336361
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	Certain infectious and parasitic diseases (AB1_)	0.427029	0.0905522	0.114848	0.121785	0.114841	390	342109
M13_ENTESOPATHYNAS	Other/unspecified enthesopathies, not elsewhere classified	Diseases of the musculoskeletal system and connective tissue (M13_)	0.427105	-0.0359474	0.114854	0.111299	0.114888	2453	253122
AB1_RESP_TUBERCU_CONF	Respiratory tuberculosis, bacteriologically and histologically confirmed	Certain infectious and parasitic diseases (AB1_)	0.429569	-0.0796988	0.11491	0.106202	0.114923	490	340289
P16_TRANSITO_DISORD_CARBOH_METABOLISM_SPECIFIC_FETUS_NEWBO	Transitory disorders of carbohydrate metabolism specific to fetus and newborn	Certain conditions originating in the perinatal period (P16_)	0.42981	0.109101	0.114851	0.134191	0.114835	272	342220
CD2_BENIGN_BRONCHUS_LUNG	Benign neoplasm: Bronchus and lung	Neoplasms from hospital discharges (CD2_)	0.430388	-0.103809	0.114848	0.105549	0.114856	282	342217
H7_ECTROPION	Ectropion of eyelid	Diseases of the eye and adnexa (H7_)	0.430462	0.0585	0.11491	0.120345	0.114895	915	314292
G6_MENINGOTH	Other meningitis	Diseases of the nervous system (G6_)	0.430524	0.0929457	0.114835	0.124482	0.114825	356	340340
G6_DEGENOTH	Other and unspecified degenerative diseases of nervous system	Diseases of the nervous system (G6_)	0.430761	-0.0815428	0.114802	0.106207	0.114814	465	333555
CD2_BENIGN_EAR_RESP	Benign neoplasm of middle ear and respiratory system	Neoplasms from hospital discharges (CD2_)	0.431749	0.0391565	0.114848	0.119466	0.114821	1996	340503
G6_POLYOTHUNS	Other and unspecified polyneuropathies, also in other diseases	Diseases of the nervous system (G6_)	0.432041	0.0251921	0.114849	0.117856	0.114805	4899	336784
YERSINIAENTERITIS	Enteritis due to Yersinia enterocolitica	Certain infectious and parasitic diseases (AB1_)	0.432553	-0.158549	0.114889	0.1	0.114894	120	337486
Q17_CONGEN_MALFO_AORTIC_MITRAL_VALVES	Congenital malformations of aortic and mitral valves	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.432733	0.0581274	0.114829	0.120728	0.114813	907	338720
M13_JUVOSTEOCHONRHIP	Juvenile osteochondrosis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.433648	-0.0599333	0.114878	0.108921	0.114893	848	336699
GOUT_IDIO	Idiopathic gout	Rheuma endpoints	0.434328	0.0405912	0.114805	0.119609	0.114778	1851	335038
K11_LIP_ORAL_MUCOSA	Other diseases of lip and oral mucosa	Diseases of the digestive system (K11_)	0.434519	0.0269939	0.114352	0.117704	0.114293	4229	242518
P16_OTH_INFECTIONS_SPECIFIC_PERINA_PERIOD	Other infections specific to the perinatal period	Certain conditions originating in the perinatal period (P16_)	0.435146	0.162436	0.114835	0.142857	0.114826	112	342270
N14_VAGINAL_HSIL	HSIL lesion of the vagina	Diseases of the genitourinary system (N14_)	0.435552	0.101086	0.114492	0.126072	0.114474	293	190586
N14_CERVICAL_LSIL	LSIL lesion of the cervix uteri	Diseases of the genitourinary system (N14_)	0.436044	0.033305	0.114492	0.118476	0.114434	2747	188132
N14_BENIGNMAMDYSP	Benign mammary dysplasia	Diseases of the genitourinary system (N14_)	0.43626	0.0281125	0.114755	0.118821	0.114665	3906	176011
H7_OTHENDOPHTHALMITIS	Other endophthalmitis	Diseases of the eye and adnexa (H7_)	0.43652	0.156111	0.114883	0.132231	0.114876	121	329013
FE_MODE	Focal epilepsy, mode (most common among epilepsy diagnosis)	Diseases of the nervous system (G6_)	0.437671	-0.0516852	0.114738	0.108356	0.114759	1132	332145
H8_TINNITUS	Tinnitus	Diseases of the ear and mastoid process (H8_)	0.43795	-0.0220762	0.114885	0.112477	0.114935	6264	302750
CIRRHOSIS_BROAD	Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523	Gastrointestinal endpoints	0.438428	0.0291408	0.114848	0.11803	0.114815	3548	338951
F5_PERSOCHANGE	Enduring personality changes	Mental and behavioural disorders (F5_)	0.438801	-0.165603	0.114896	0.0954545	0.114903	110	332850
L12_LUPUS	Lupus erythematosus	Diseases of the skin and subcutaneous tissue (L12_)	0.439054	0.0721695	0.114777	0.121903	0.114764	569	321903
M13_THORACISPINEPAIN	Pain in thoracic spine	Diseases of the musculoskeletal system and connective tissue (M13_)	0.439258	-0.0276453	0.114966	0.111032	0.115029	3990	248831
VD_SC	Vascular dementia (subcortical)	Neurological endpoints	0.439365	0.0751156	0.114805	0.119261	0.114798	548	328323
K11_VENTHER	Ventral hernia	Diseases of the digestive system (K11_)	0.439369	-0.0212575	0.115077	0.112809	0.115129	6747	293793
Q17_CONGEN_ICHTHYOSIS	Congenital ichthyosis	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.43957	-0.193005	0.114808	0.09252	0.114813	81	340224
K11_OTHFUNC	Other functional intestinal disorders	Diseases of the digestive system (K11_)	0.440312	0.0149297	0.114816	0.115845	0.114763	14125	276683
I9_VHD	Valvular heart disease excluding rheumatic fever	Diseases of the circulatory system (I9_)	0.440412	-0.00769462	0.114917	0.114583	0.115019	72756	237263
F5_KELARET	Kela-code for behavioural disturbances in mental retardation	Mental and behavioural disorders (F5_)	0.440567	0.118043	0.114863	0.121114	0.114859	220	341375
N14_INFLAMMBREAST	Inflammatory disorders of breast	Diseases of the genitourinary system (N14_)	0.440652	-0.0455977	0.114627	0.109921	0.114665	1435	176011
L12_ALOPECANDRO	Androgenic alopecia	Diseases of the skin and subcutaneous tissue (L12_)	0.441679	0.135398	0.114334	0.12711	0.114323	161	182622
CD2_BENIGN_BONE_SCAPULA_LONG_UPPER	Benign neoplasm: Scapula and long bones of upper limb	Neoplasms from hospital discharges (CD2_)	0.442296	-0.115631	0.114848	0.102273	0.114857	220	342279
K11_PULP_PERIAPICAL	Diseases of pulp and periapical tissues	Diseases of the digestive system (K11_)	0.442481	0.0171433	0.114382	0.116447	0.114293	10389	242518
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA	Haemangioma and lymphangioma, any site	Neoplasms from hospital discharges (CD2_)	0.442623	-0.0369581	0.114848	0.111184	0.114872	2147	340352
O15_PUERP_SEPSIS	Puerperal sepsis	Pregnancy, childbirth and the puerperium (O15_)	0.442917	-0.0289982	0.114451	0.111572	0.114506	3545	183235
M13_PSOASTEND	Psoas tendinitis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.44341	-0.187164	0.115023	0.0957949	0.115029	83	248831
H7_CONJUNCTIVITISCHRON	Chronic conjunctivitis	Diseases of the eye and adnexa (H7_)	0.443876	0.064626	0.11506	0.122343	0.115044	691	314307
E4_FH_IHD	Familial hypercholesterolemia, with ischemic heart disease	Endocrine, nutritional and metabolic diseases (E4_)	0.444089	0.0358632	0.115023	0.120085	0.114979	2491	285769
Q17_OTHER_CONGEN_MALFO_CIRCULATO_SYSTEM	Other congenital malformations of circulatory system	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.44436	-0.0723329	0.114801	0.107613	0.114813	554	338720
I9_CARDMYOHYP	Cardiomyopathy, Hypertrophic obstructive	Diseases of the circulatory system (I9_)	0.444433	-0.0776333	0.115002	0.106788	0.115019	487	237263
M13_CHRONDROPATHIES	Chondropathies	Diseases of the musculoskeletal system and connective tissue (M13_)	0.444867	-0.0260614	0.114865	0.112716	0.114893	4291	336699
CD2_IMMUNOPROLIFERATIVE_EXALLC	Malignant immunoproliferative diseases	Neoplasms from hospital discharges (CD2_)	0.445634	-0.119029	0.115564	0.105754	0.115571	199	271463
H7_OPTICDISCOTH	Other disorders of optic disc	Diseases of the eye and adnexa (H7_)	0.446093	-0.108272	0.114793	0.103633	0.114801	245	340155
DUODENAL_ULCER_UNSPE_ACUTE_CHRONIC_WO_HAEMORRHAGE_PERFORATION	Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation, drug-induced	Diseases of the digestive system (K11_)	0.447157	0.176627	0.114848	0.132076	0.114844	92	342407
G6_IDIOAUT	Idiopathic peripheral autonomic neuropathy	Diseases of the nervous system (G6_)	0.447159	-0.1853	0.114829	0.0987654	0.114833	81	342013
I9_HYPTENSEC	Secondary hypertension	Diseases of the circulatory system (I9_)	0.447173	0.0357978	0.114623	0.119232	0.11456	2323	168000
M13_ARTHROPATHIES	Arthropathies	Diseases of the musculoskeletal system and connective tissue (M13_)	0.44808	0.00625647	0.114848	0.115218	0.114646	121176	221323
H8_PERFORATION	Perforation of tympanic membrane	Diseases of the ear and mastoid process (H8_)	0.44857	-0.0338573	0.114735	0.110532	0.114768	2515	320335
C3_THYROID_GLAND_EXALLC	Malignant neoplasm of thyroid gland	Neoplasms, from cancer register (ICD-O-3)	0.448878	0.0432289	0.115575	0.119914	0.11555	1525	259583
K11_GULC	Gastric ulcer	Diseases of the digestive system (K11_)	0.449442	-0.0236034	0.114939	0.112005	0.114992	5277	292256
E4_OVARDYSNAS	Ovarian dysfunction, other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	0.450594	0.158639	0.114529	0.132496	0.114519	110	181796
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis	Certain infectious and parasitic diseases (AB1_)	0.450687	0.0737363	0.114696	0.12351	0.114683	514	333715
I9_HEARTFAIL_NS	Heart failure, not strict	Diseases of the circulatory system (I9_)	0.450735	0.00949735	0.114848	0.115136	0.114808	42620	299879
F5_PSYCHDEV	Disorders of psychological development	Mental and behavioural disorders (F5_)	0.451161	-0.0296788	0.114848	0.113852	0.114858	3386	339113
ILD_INSUFFICIENCY	ILD-related respiratory insufficiency	Interstitial lung disease endpoints	0.451197	0.0661716	0.114858	0.121408	0.114845	647	338784
G6_HCOTHUNS	Other and unspecified hydrocephalus	Diseases of the nervous system (G6_)	0.451807	-0.0930801	0.11483	0.102778	0.114842	331	341117
Q17_CONGEN_MALFO_CIRCULATO_SYSTEM	Congenital malformations of the circulatory system	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.452074	0.0273835	0.114848	0.118005	0.114813	3779	338720
H8_EXT_CHOL	Cholesteatoma of external ear	Diseases of the ear and mastoid process (H8_)	0.452478	0.141192	0.114729	0.130112	0.114722	140	333917
CD2_BENIGN_TESTIS	Benign neoplasm: Testis	Neoplasms from hospital discharges (CD2_)	0.454003	0.168638	0.115297	0.134142	0.115285	97	151523
M13_FORESTIER	Ankylosing hyperostosis [Forestier]	Diseases of the musculoskeletal system and connective tissue (M13_)	0.456412	-0.0944264	0.115015	0.103584	0.115029	314	248831
N14_CERVICAL_DYSPLASIA_NOS	Dysplastic lesion of unknown severity of the cervix uteri	Diseases of the genitourinary system (N14_)	0.456559	-0.115905	0.114492	0.102303	0.114505	206	190673
VD_SO	Vascular dementia (sudden onset)	Neurological endpoints	0.456605	0.141506	0.114803	0.127394	0.114798	138	328323
N14_FEMALEGENNONINF	Noninflammatory disorders of female genital tract	Diseases of the genitourinary system (N14_)	0.456634	-0.00778256	0.114492	0.114087	0.114854	90216	100663
M13_BONEDISNAS	Other specified/unspecified disorders of  bone/cartilage	Diseases of the musculoskeletal system and connective tissue (M13_)	0.457071	-0.0628891	0.114799	0.108434	0.114812	693	325717
F5_SCHIZOTYP	Schizotypal disorder	Mental and behavioural disorders (F5_)	0.457259	-0.0665453	0.115132	0.108533	0.115147	773	330132
AB1_OTHER_SEPSIS	Other septicaemia	Certain infectious and parasitic diseases (AB1_)	0.457705	0.0164248	0.114829	0.116121	0.114784	10666	303314
